Nom,Adresse,Latitude,Longitude,Nombre d'avis,Note moyenne,Reviews,Arrondissement
ibis budget Paris Porte d'Orléans,"15-21 Bd Romain Rolland, 75014 Paris, France",48.81949940000001,2.3263307,2169,3.6,"[""If you have claustrophobia, don't book there. I made a mistake and booked two nights even though I booked the night for 90 euros but it was a mistake the room is very small and the windows are closed because it is a big hotel it was a terrible experience. The room service was polite, smart and very fast my greetings to him. The receptionist for the morning shift needs some professionalism in responding & handling the customers. The location is close to the metro. But I accept my mistake it was my first visit to Paris. The photo for the view from my room but you can’t open the window to breathe as I was at the ninth floor."", ""We had a pleasant stay at the Porte D'Orleans ibis Budget hotel. Pleasant staff, clean rooms (we booked two rooms for our family of five) and nice breakfast buffet.\nThe hotel is located just outside of the southern périférique, but just a five minute walk away from metro line 4."", 'When i was departing the hotel to check out, 2 of of 3 lifts were broken. They were stuck at different levels. then the only way down with the lift that barely worked was to go all the way up and then down to ground level. caused major stress and delay. people have places to be, flights to catch. it’ll be hard to carry a 25kg suitcase down 6 flights of stairs. get them fixed.', 'After reading many negative comments, we had a very good expectation management before our stay during the Olympics period. The staff in the front desk was kind and polite. He allocated us a room that we could enjoy a view of Eiffel Tower. The size of the room was reasonable. If anyone says the room is small, he/she must have not been to Tokyo. I welcomed the separated WC and shower place. However, the WC was too small. There was a hole in the shower screen door that water would inevitably spill out. It was a bit tricky. Yes, since the shower screen door was almost transparent, it could be quite embarrassing if you were not travelling with your loved ones.\nThe size of the bed was very well - the pillows and duvet were good. The air-conditioning was a godsend during the very hot weather. We had good sleeps.\nThe breakfast was fine.\nIt is within 5 minutes walk between Metro 4/Tram T3a and the hotel. The Metro 4 connects major stations. Location-wide, it was really good!\nTo be fair, what do you expect for a budget hotel? I am more than happy with this price and this quality.', ""The location is a few minutes with the metro from central Paris, so it's good. And for the price, it's fine.\nOur three-person room was small, with barely any room to walk past each other. We couldn't open the window, only air condition.\nThe person om the 'bunk' bed couldn't get an extra blanket, and it just had one thin blanket. They had no spares??\nWe didn't go to the restaurant, but facilities are fine. There's a water tap and a coffee machine (that gives very little coffee), and restrooms.\nIn the room there's a small shower and a curtain that shields the shower and toilet from the rest. While someone's showering, no-one can go to the restroom. Shower and toilet work fine, but toilet door doesn't close fully and/or lock.\nThere's no common trashcan, just glas, paper and plastic. Also, when we first exited the hotel there was a mouse being chased by personnel.. but that was a one-time thing.""]",14e
Novotel Paris 14 Porte d'Orleans,"21 Bd Romain Rolland 15, 17, 75014 Paris, France",48.8194911,2.3261267,1893,4.2,"[""It was a very pleasant experience at Novotel Paris 14 Porte d'Orléans. Our Superior room was spacious and clean, the breakfast was delicious and parking was very accessible in the parking garage. The only downside to our room was that the toilet was a bit on the small side. The shower was also very nice, but at any height over 1.85 meters you are going to have to bend down a little."", 'We stayed two nights at this 4-star hotel. Overall, the room was clean and comfortable, as expected. However, one unusual feature was that the toilet was separated from the bathroom, and there was no place to wash your hands inside the toilet! You had to leave the toilet and go to the bathroom around the corner, which was VERY inconvenient, and strange!\n\nThe breakfast was decent, though it didn’t quite live up to the expectations set by the booking site, for a 4 star hotel.\n\nThe location of the hotel, however, is very good.', 'we had the worst experience in this hotel, especially the hotel service for everthing we have to go down and take them like plates, glasses and other normal things. the guy at the bar counter, we asked him glasses to drink so, he gave us glasses, they were not cleaned properly, we told we want cleaned ones he said, i m taking back the glasses, in reception there are some plastic glasses use them. is this the way novotel treats us. this was not expected. i m never ever going to novotels again. we had the worst experience.', 'Not a real 4 star hotel. Low service and lack of table at breakfast. Be prepared to wait for 15 minutes in the line to be accepted to breakfast you already paid. Elevators are not safe and reliable. Be carefull if you plan to use it. Rooms are too small and old. No sink at the toilet of your room.', 'Absolutely loved starting here.\nLocation is great if you wanted to be well connected with the Center but not pay the high prices of living there center of Paris. M4 direct line to Notredame and with one change to Effiel tower. Rooms were cleaned regularly and showers are great. Honestly.. hands-down I will stay here again next time I am in the city.\n\nSpecial mention to Marco and Fernando who were very helpful and Marco makes the best drinks (specially the hibiscus flavoured).']",14e
hotelF1 Paris Porte de Châtillon,"23 Av. de la Prte de Châtillon, 75014 Paris, France",48.82277189999999,2.3165416,4778,3.6,"['Hotel is well located, closed to public transport. Great staff with good customer service. Rooms are ok to rest after a busy day walking around Paris however, not the best cleaning place. Showers and toilets were disgusting at night and early morning. I recommend to take care of it more often.', 'We managed to rent an inexpensive room for two, the room was clean and equipped with a TV, table and chairs. There was also a sink in the room, which is very convenient. The toilets and shower rooms were very clean! I enjoyed our stay at this hotel! The staff were also friendly. We were able to leave our things in the storage room and we even had a towel in our room! Thank you for your hospitality! It was worth it 42 euros for two. Everywhere in the hotel there are beautiful walls with posters from different countries!)', 'Great budget option. Everything was very clean and the reception area was decorated for Halloween. A bit of a wait to check in which I hadn’t expected at 22.30. Friendly staff and great to be able to enter your room with a code. We’d booked the cheapest room available on the F1 website which was only €52 including tourist tax on a Friday in October. Shared bathroom wasn’t a problem as it was clean, good water pressure, and no queues. Only downside was the fact that you can’t really open a window in the peripherique facing rooms because of the enormous traffic noise, even on the 6th floor. Without an open window though, the room was pretty warm and stuffy even with the heating fully off. A fan would help! Be aware that the beds in the tandem room are only 140x190 so not great if you’re big or tall.', 'We spent two nights in the hotel. The location of the hotel is great; the metro station, supermarkets, pharmacies are within short walking distance which is super great if you want to have a great time in Paris without hours of commuting.\n\nThe room itself was big and clean, however it was lacking any wardrobe or shelf that could store clothes. Our beds were comfortable and clean as well. The continental breakfast was minimalist but worth its price, it is accessible for a longer period in the morning which was so relieving.\n\nWhat we did not like was the bathroom, it was incredibly small and had no hand soap nor small towel for the hands. We also had to leave one of our ID cards at the reception in order to get a hairdryer, which we did not find fair at all.\n\nOverall I would say this is a great place for a few nights for tourists on budget and for those who want to stay within Paris and save time with public transport.', 'I don\'t have a lot to say other than I\'m glad I didn\'t pay to stay there. I helped my nephew and his son get there. He\'d reserved online quite a while ago. I don\'t know how much he paid but I\'m positive it was too much for an extremely ugly room. I\'ll post a picture of the ""interesting"" wallpaper which is everywhere. One towel per bed. Maybe there were two on the double. But that\'s it.  It spoke of hair dryers but we certainly couldn\'t find one. I noticed that in the room with two single beds pushed together like a double bed, on the side where I was sitting you couldn\'t control the light. It was on the other side of the other bed. On the other hand the plug for charging phones were on the side where I was sitting so his wire would have to go over me if I were sleeping there. There was a small bathroom and it did at least have toilet paper but nothing else such as shampoo or even hand soap. It was quite a strange place which I suppose is fine for many people but as I said I\'m glad my plans changed and I\'m on a train to another adventure. My nephew will certainly be leaving his own review after actually staying there.']",14e
The Flex Living France,"25 Bd Romain Rolland, 75014 Paris, France",48.8197331,2.3250092,42,4.9,"['My stay was very comfortable, and the place was well-organized with everything I needed readily available. Additionally, (Lokmane) was extremely kind and professional in his treatment, making the experience even more enjoyable.\n\nI highly recommend this place and would gladly stay here again in the future.', 'The apartment was great Lokmane was very helpful and friendly, always there to fix any issues we had. We would be happy to return to any property he was hosting. Ahmed and family', 'I had an amazing experience! Sofiane was very helpful every time I needed to asked him about something, Sofiane was very fast to respond and always very polite and friendly. My stays exceeded my expectations. Good jobs guys !', ""I really liked my staying at one of the  Flex living's apartment , was clean , calm and the host provided Lokmane was helpful always asking if we need something … grateful highly recommended"", 'My stay so far has been so amazing, sofiane has been a good host and been very responsive will definitely come back again. Thank you']",14e
Hôtel du Parc Montsouris,"4 Rue du Parc de Montsouris, 75014 Paris, France",48.8224121,2.3345882,365,3.8,"[""Small but friendly and well appointed hotel in the 14th arr (South of the main tourist attractions of the city centre), a 10 minute walk from Porte d'Orléans metro station and from there an easy ride to the centre of Paris. The rooms were small but had everything you need for a short stay including tea and coffee making facilities and a small kitchenette which enabled basic microwaving, fridge and washing up. The shower-room was in need of a little updating but was otherwise ok.\nA lift is available to the higher floors and you can leave luggage in the entrance loby on your final day, by arrangement with the staff. Entry to and from the hotel is via a key fob for the duration of your stay but you need to check in before staff leave for the day (check arrangements with your booking agent).\nStaff are readily on hand downstairs to help and spoke mucu better English than my smattering of basic French. Breakfast is available for a small extra sum per day but was a generous and varied continental style buffet with fresh bread, pastries and copious amounts of coffee and juice if required.\nThe Parc du Montsouris is at the end of the street and a pleasant place for a stroll or run."", 'Really nice stay and kind service. Quiet and peaceful district and estate, near to public transport. Everyday cleaning and fresh towels. A little bit tight kichenette, but still functional and reasonable considering the price. A few stains on curtains. However, the place still worth recommending.', 'Last minute booking, so didn\'t have a lot of choices -- happy this place was at least available. The people working the front ""desk"" (it\'s literally a tiny, makeshift desk) were friendly, but the place was just below par. Extremely tiny, dishes not really clean (probably because they don\'t supply any dish soap, so previous people may have just washed with water and no dish soap), and the extra blanket looked like it hadn\'t been washed in a while (stains and hair on it). Shower stall was very small. I\'m fairly small and short, but it was almost impossible to turn around in the shower without hitting the water handle, which either changed the temperature or the water pressure. Toiletries were available, so that was nice. Also, I tried to cancel our last night of the booking with 48-hours notice, but was told it was not possible. Every other place I\'d seen allowed cancellations with just 24-hours notice. Location was ok, though not really near a lot of attractions. Also, this is just a comment on Paris itself, not the hotel, but it\'s impossible to have a meal anywhere without inhaling a lot of second-hand smoke. C\'est la vie!', ""Hello,   As usual I enjoyed my experience at your hotel.  It's often been our home away from while we visit our son and his family just a short way away.  The staff is very kind and helpful.  I often wish I were eating the delicious breakfasts, but I usually need to get to my grandchildren on time.\nThe room I had for the 9 nights was perfect for me.  Wonderful lighting, bathroom,  and plenty of light from the windows during the day, and the curtains blocked out the morning light.\n\nThank you, Emily Greenberg"", 'Location is good if you go to the airport (RER B) and close to the parc Montsouris and Cité Universitaire which are great for nature lovers, but not so close from tourist places.\nThe neighbourhood is quiet and nice.\nIn our room there was a small kitchen which is apreciable.\nCleaning was ok in general but we found a worn mask on the floor, the answer from the person on the reception was ""pfff"".\nFourniture is old and losing its paint so it seems that is has not been cleaned properly. The wc seemed to have an internal leak so there was a constant noice of water. The nespresso machine we asked for didn\'t work.\nIt was not bad but it is not a three stars hotel (as shows a sign on the outside of the hotel) and it is not worth the price.']",14e
Ideal Hotel Design,"108 Bd Jourdan, 75014 Paris, France",48.82333329999999,2.3261111,637,3.7,"[""This is a great hotel. Right outside the front door, the 4 Metro line. It is convenient for travel throughout the city. The rooms are on boutique style with unique décor. The staff was very welcoming and was very helpful ( providing city info, directions and although they do not have a business center they were willingly printed out any documents I requested).  They provide a continental breakfast of breads, pastries,  cheeses, dried fruits, preserves, hard boiled eggs, juices, coffee and tea. The breakfast was great.  I love this hotel. Be aware there is only a small elevator and sometimes it is better to take the stairs. Also, this building is does not have central air. This common in older buildings in Paris. A electric fan was provided in the closet but, my wife and I did found the open window air adequate. Don't let these two little things keep you away from this great hotel."", ""Rooms are small. But all clean and facilities are maintained. Front desk people are friendly and helpful, especially night time gentleman.\nBreakfast is even smaller than rooms. Watch out for breakfast manager, she is monitoring that people don't eat too much and reprimands people. And don't eat crepes, unless you enjoy paper chewing."", 'I must say, ""I enjoyed my stay here!"" This is a very trendy and family friendly hotel. The management is very cardial, and helpful. It is located directly across from the: Tram, Metro and Bus station. There are plenty of restaurant and supermarkets in the area. You can save a few dollars/euros by walking to a convenient eatery nearby. Most restaurants in the area have great food to enjoy. I paid for a \'balcony\' room, and it was a great investment. They also have parking available for purchase. Simply stated, ""a nice place to enjoy your stay in the area.""', ""Chic, modern and located ideally. The building beautifully mixes old with the new.\n\nRooms were clean and bright and airy, with each room individually designed. Rooms contained all the essentials, and looked like they had been maintained regularly.\n\nToilets however seemed a little unloved. They were clean, but didn't benefit from the artistic touch, styling or modernisation that the room had.\n\nLounge area on ground floor is a good idea and again styled in a modern theme.\n\nReceptionist speaks English which was a big plus, as our group knew only very basic french. Friendly, quick and attentive to our questions.\n\nOnly downfall is the scary one person lift. 😮 It looks like it will break any minute and seems like it can only carry one person. So if you are on the third floor or higher expect a steep spiralling walk up the stairs."", ""The hotel is a little bit south but very well communicated by transit. The line 4 brings you to the center in a few minutes.\n\nThe rooms are spacious. My room had actually 2 beds, one king and one smaller. The bathroom is good as well with a nice shower.\n\nThe downside is the don't have Aircon, just standing fans which won't make the job in summer.""]",14e
Villa Royale Montsouris,"144 Rue de la Tombe Issoire, 75014 Paris, France",48.8234765,2.3306974,522,3.7,"['Absolutely loved my stay at this beautiful hotel! Such a unique place - feels like you’re in Morocco even though you’re in Paris. The decor is stunning with gorgeous tiles and ironwork everywhere.\nMy room was super comfortable and had everything I needed - great bed, AC worked perfectly, and plenty of space to unwind after long days exploring the city.\nReally enjoyed being near Parc Montsouris - it’s a bit quieter than central Paris but the metro station is just a few minutes walk away so getting around was no problem at all. The staff were lovely and helped me find some great local restaurants.\nThe hotel isn’t massive which makes it feel really personal and special. The intimate size gives it a peaceful, boutique feel that you just don’t get at bigger hotels.\nIf you want something different from the usual chain hotels, definitely give this place a try. It’s a real gem and made my Paris trip extra special. Would 100% stay here again!', ""We encountered two receptionists. The first one (male) was great, but the second one (female) was terrible, lazy and rude. When retrieving our stored luggage, she told us to go into the room and pick our own luggage (instead of bringing it out for us). Didn't even bother to check if the luggage belonged to us.\nWhen we asked for hot water to fill our flask, she muttered a swear word in French (thinking that we probably didn't understand) and said that the hot water kettle was broken and that no water was available.\nWe had a more than decent stay until we encountered her."", 'One of the staff was very unfriendly. Got put into the wrong room after booking „superior“.\nStaff denied that they made a mistake.\nWould not recommend!', ""Total mess. Wrong rooms, bad attitude from personel. Hair dryer doesn't work, two of four electric sockets don't work. Want to print something? 1 euro for 1 page. For 30 pages we paid 30 euros. Avoid at any cost."", 'My sister and i have been staying here for a week. We believe, this is the best reasonable option in Paris. The hotel is well located, rooms are very clean, breakfast is filling, fresh and delicious. Lots of coffee and tea options. Fresh juices. We love , love, love it!!!!\nI strongly recommend 🤗✨❤️🌷🌷🌷🌷']",14e
Hotel Montsouris Orleans,"15 Rue Beaunier, 75014 Paris, France",48.8240578,2.3300714,194,3.5,"['Nice service, good value of the money, room is just ok, considering it is in central Paris. Clean and tidy, friendly staff, close to metro station, and several cafes and restaurants nearby.', 'I mean Paris is not a city to stay in a hotel room, maybe only to sleep couple of hours. This is an affordable hotel on a good location. Negative points is the small bathroom sink, no elevator and no air-conditioning.', ""Good bang for your buck. Rooms aren't huge but the space is enough. It's also quite clean. Keep in mind there's no elevator and the stairs are tight, be careful going down with heavy luggage. The guys staffing the front desk at night were not too friendly, but the people in the morning and in the afternoon were lovely. Great location too. Only thing is I wish there was at least a microwave in the small dining area."", 'I didn\'t stay at this hotel. I visited a friend who stayed. I give it 3 stars because you get what they offer. It\'s budget friendly. The rooms and bathrooms are small, but most importantly, they\'re clean. The front desk man was very friendly. They operate in an ""old school"" kind of way. They did not send my friend an official confirmation, however they gave ""their word."" My friend had no problems checking in. The WiFi worked very well.  There isn\'t an elevator so keep that in mind.  The stairwell is very narrow, but it\'s an older Parisian building.  It\'s very close transportation and City Universitaire. Good bang for your buck.', ""The place was budget friendly and staff were nice. The room wasn't very clean and the hotel often filled with cigarette smoke even though it was no smoking. Breakfast is not included""]",14e
Hôtel Beaunier,"31 Rue Beaunier, 75014 Paris, France",48.8242503,2.3290166,125,3.8,"['Very good price and a nice location (quiet and the Metro is nearby). The room was clean when we arrived and got cleaned every day. Everything was like the pictures showed.\n\nFriendly and helpful Hotelier and good breakfast, also suitable for vegetarians.\n\nWe would recommend it!', 'Good location, very friendly hotelier and great value for money - recommended for a long weekend in Paris.', 'We had a really good stay here. A great location and comfortable enough room for the price. Really close to the metro. The breakfast was great as well. Great service also. Close to restaurants, cafes and a grocery store. In a less touristy spot so we managed to go to some nice local restaurants. Would definitely stay again if we return to Paris.', ""The hotel is old, but pretty, neat, but not clean enough. Has the pretty patio, but great audibility from the neighbors, good and regulated water, but no airconditioning. And no wardrobe / shelves / clothes hooks.. The hotelier was kind to make late night check-in for me. But when I discovered that bed sheets were dirty (not even my fault) and asked to change, they didn't do this.."", ""I booked a room at their hotel and tried to cancel it. Their policy allows free cancellations up to 3 days before the arrival. Despite numerous emails and direct messages on Google, I've received no response. I initially waited because they were closed in late August. Now that they're open, the silence is disappointing.\n\nIf there's an issue with their email, I'm open to removing this comment.""]",14e
Virgina Hotel - Paris,"66 Rue du Père Corentin, 75014 Paris, France",48.8239715,2.3274757,1050,4.4,"[""Super cute hotel with decent pricing when you find the right deal.. breakfast a bit underwhelming for 16 euros so probably wouldn't take that again. Otherwise the staff is best I've experienced in Paris. Definitely a great place and will visit again if the price is right. Close to Metro & tram line stations so connection throughout Paris is easy."", 'Nice good prices in a decent location. We stayed one night in a double room and it was good. The room was good and the staff were friendly, but unfortunately did not accommodate our special request fully. Also breakfast is a little bit overpriced. Would come here again, however.', 'Beautiful true old-fashion French hotel, which became a part of our destination. The small original elevator is a piece of art. Personnel is very lovely and speaks multiple languages. From the first step in they make you feel very comfortable, which is very helpful after a long travel. Highly recommend!', 'This was an absolutely amazing hotel! Very reasonably priced, great safe location, close to metro, shops for essentials nearby, and many delicious options for food nearby. The rooms were clean, comfortable, had AC that could actually accommodate how chilly we prefer to sleep at, and they had 3 and 4 person family rooms which can be hard to find. They also had a delicious buffet breakfast for 16 euros per person. The staff were all friendly and offered helpful suggestions for things nearby. I highly recommend this hotel! We will definitely be staying there if we travel to Paris again in the future.', 'Bonjour,\nDue to the Paralympics being in progress, there were few hotel rooms available in Paris, so I booked into this hotel, which was a little out of the center of the city.\nHowever, it was easily accessible and close to the metro, buses, and TRAM. There was a bakery nearby and a supermarket next door that was open late. The environment was good and pleasant.\nI met 4 hotel staff and they were all friendly. For example, they listened to my poor French.\nThe elevator is a classic one, only for two or three people, but I liked it.\nThe room decor was calm, and the room with a balcony was pleasant, with a view of the city. I was given a room with a bathtub, which was relaxing.\nThe room and breakfast are a bit expensive, but I think a longer stay would be nice because of the calm environment and the convenience of the hotel.\nMerci, et à bientôt.']",14e
