Nom,Adresse,Latitude,Longitude,Nombre d'avis,Note moyenne,Reviews,Arrondissement
Hotel Regina Louvre,"2 Pl. des Pyramides, 75001 Paris, France",48.86386539999999,2.3325488,644,4.3,"['I recently stayed at Hotel Regina, and it was an incredible experience! From the moment I walked in, the staff made me feel welcome with their warm smiles and helpful attitude. The rooms were clean, spacious, and beautifully designed, offering a perfect balance of comfort and style.\n\nOne of the highlights was the food, which made my stay even more enjoyable. The food was excellent, with a wide variety of delicious options to choose from.\n\nLocation-wise, the hotel is perfectly situated near [mention any nearby attractions, transportation, etc.], making it easy to explore the city. Overall, I had a fantastic stay and will definitely return on my next visit!\n\nHighly recommend Hotel Regina Louvre to anyone looking for a memorable stay.', 'This is a beautiful property that takes you back in time with lovely, quiet balcony views. The location is ideal and everything was easily accessible within a walking distance. The staff are also very friendly and helpful; we traveled with our 5-year old and they were very welcoming and child-friendly. They had an old-school postcard mailing service that was a really nice touch and completed the vibe of an older establishment that knows hospitality. Would definitely return here for future visits to Paris.', 'I was extremely disappointed with my stay at Hotel Regina Paris, which was far from the advertised 5-star experience.\n\nThe room was in terrible condition. It smelled unpleasant, and there were lollies stuck to the carpet in the corners, along with visible dust everywhere. The floors were creaky, and loud piping noises kept us awake all through the night. The showers were unusable, with the water temperature constantly fluctuating between boiling and freezing. To make matters worse, the master bedroom had a bathtub with a short showerhead, not a proper shower.\n\nThe only positive aspect was the friendly and helpful front desk staff. However, that didn’t make up for the unacceptable state of the accommodations. The 1 star review is only for the staff’s service.\n\nWe checked out three nights early because this hotel did not meet even basic expectations, let alone those of a 5-star establishment. On New Year’s Eve, finding alternative accommodation was challenging, so we had no choice but to stay the first night. Even with all the issues we experienced, the manager still charged us the full rate for that night and offered no compensation. Extremely frustrating as it was a high rate, it would have been cheaper to stay in a 3 star hotel and receive the same disgusting amenities for a quarter of the price.\n\nWe ended up at the Mandarin Oriental, which truly embodies luxury and deserves its 5-star reputation. Unfortunately, our experience at Hotel Regina Paris left a lasting disappointment. I would not recommend this hotel to anyone looking for a premium experience. If you are used to proper 5 star luxury, do not stay here. The pictures advertised on their website will fool you.', 'My husband and I stayed at this lovely, elegant Parisian hotel for four days.  The service was outstanding as was the location.  The staff truly cared about making our stay the best possible.  I needed to see a doctor for a minor but troublesome issue and the concierge arranged for a doctor to visit me at the hotel.  Amazing!  I highly recommend this hotel for your trip to Paris.', ""This beautiful 1900's building is absolutely stunning. All rooms have amazing views of the Eiffel Tower, the gardens or the museum.\nThe Hotel Regina Louvre offers free wi-fi, flat screen TVs, as well as being equipped with a well stocked minibar and great 24 hour room service. Would highly recommend a stab at this hotel.""]",1er
Saint James Albany Paris Hôtel Spa,"202 Rue de Rivoli, 75001 Paris, France",48.86501200000001,2.330710499999999,1065,4,"['bro can you please reopen already this was the best spot. hope y’all haven’t destroyed the charm and pool and beautiful courtyard', ""fantastic location, excellent and friendly staff, relaxing pool area for a swim in between sightseeing. room was clean, bed was comfortable and all together for Paris standards spacious and well equipped.\n\nnegative: the room is quite dark (I didn't mind, I'd rather have a dark room than noisy street) and the walls are very thin. you can hear people walking down the hall, talking in other rooms etc.\n\nnonetheless I'd book again!"", ""The hotel is across the street from the Louvre!  Easy walk to a lot of places.  I didn't rate the welcome because we arrived as part of a large group, which is always difficult for everyone.  We liked our room, but  several of the electric plugs did not work, and a repair person was not able to fix that.  The staff was friendly and helpful, and our room was very clean.  We enjoyed beautiful two-story windows that opened onto one of two squares inside the hotel property.  Our king bed was comfy and the room had two bathrooms.  One upstairs in the sitting room, and the other downstairs in the bedroom.  The breakfast buffet was good, and included a cappuccino machine.  If you ask for 'American coffee', they will bring it.  The concierge was really helpful!"", 'Nice hotel and very well located. The swimming pool is also very nice. The design of the rooms is a bit already old and they should make some renovations. Another thing to notice there was a weird smell in the kitchen area during our stay for all the 5 days.', 'From the welcome to our departure the staff was helpful, friendly and professional. The family room was spacious and very comfortable for our family of four (with teen daughters).  The maid service was excellent - supplies always refreshed. Any request ( for an iron etc.) was done in a timely fashion. The concierge was exceptional! We would stay here again and will recommend to family and friends when they visit Paris. Great location- close to major attractions and historic sites.\n\nThank you for making our stay in Paris a memorable one.']",1er
Hotel Montalembert,"3 Rue de Montalembert, 75007 Paris, France",48.8567203,2.3278538,263,4.7,"['This hotel is a must ! The service is the best I have ever encountered : respectful, generous and amazingly nice.\nLocation is perfect. I will come back for also the restaurant, a drink and a café. They also have an intimate terrace. Thank you !', ""This is such an amazing hotel, having traveled to Paris a few times, this is by far my favorite hotel. The service is incredible,  every single staff member we engaged with were extremely friendly and so helpful for any questions we had. For me the outstanding factor was housekeeping,  and their immaculate cleaning, and making sure every single amenity is replaced every day. Every day when we returned back to the hotel the room was spotless.  Such a great location too, you almost have the best of both worlds (location and peace and quiet). I truly would highly recommend this hotel, and personally I'll be staying here again when we come back."", 'Wow. This hotel is just perfection. I had read about it online, and so when looking for a hotel on the left bank, I remembered hearing amazing things.\n\nFirst, the location is spectacular. Right in the heart of the left bank within walking distance to anything your heart desires - restaurants, shopping, bars, grocery stores, late night eats - everything!\n\nWhat truly stood out was the exceptional level of service and attention to detail. Pschemick (I absolutely butchered the spelling of his name!) was an incredible host, bringing up our luggage, showing us to our room and all the amenities, helping us with our cabs, and always greeting us with a smile.\n\nUpone arrival to our gorgeous suite, we were greeted with a bottle of champagne (!!) and La Durée macarons which was absolutely so unexpected and just lovely. Talk about exception service!!\n\nThe room we stayed was beautifully decorated, well-appointed, comfortable, and laid out perfectly for two people. We loved the sitting room, the bathrooms (toilette separate from the shower) - especially the shower/bath combo, the furniture, the beds - literally everything.\n\nI cannot recommend this hotel enough to anyone wanting a beautiful hotel on the left bank. This will absolutely be our go-to hotel whenever we are lucky enough to find ourselves in Paris.\n\nSTAY HERE AND ENJOY!!!', 'Prepare to be wow’d! Our hotel experience was wonderful here. The front desk service was impeccable. The room size and furnishings were wonderful. The neighborhood feels safe and was beautiful in the spring. I would stay here time and time again and plan on telling anyone who may visit to stay here as well! I am attaching photos of gorgeous floral arrangements and how spacious the marble bathroom was. WOW!!', 'Absolutely top notch. I had to move to the right bank as I had pre-booked another hotel, and I am really sorry I had to leave the Montalembert. The staff are marvelous, the hotel is lovely, the location is superb! They even gave me a birthday treat and I don’t think I had told anyone at the hotel that it was my birthday. At my new hotel, I mentioned it was my birthday, and they were like, “That’s nice.” From now on:  ONLY the  Montalembert. The best!!']",1er
Hotel Edouard VII,"39 Av. de l'Opéra, 75002 Paris, France",48.8683206,2.333098,482,4.5,"['This is a great hotel and I had a wonderful stay there. Good rooms and really good shower! Enough cupboard and luggage space. Great restaurant and an amazing team. It is really well located near attractions, shops and restaurants. We walked everywhere!', 'Bonkers, over the top, Ritz Carleton style service. Staff is, across the board, friendly, attentive, and continuously go out of their way to help. Our bags were taken to our room before we were done checking in. When I walked in with a bottle of wine from dinner, they asked if I would like wine glasses to take to the room. When we asked the front desk to schedule a taxi for a 4am checkout, they offered to have breakfast boxes and coffee to go. The rooms are commensurate in comfort and attention to detail. The bathroom towels were the thickest, heaviest and softest we’ve experienced (with Sofitel in Luxembourg a close second. 🙂)', 'Breakfast here was so delicious and romantically quaint! The staff were so nice and lovely to us - the only complaint we had was the rooms ran a little hot and the elevator is admittedly small. However, again, cannot emphasize how lovely the staff were in welcoming us, recommending areas and nearby things to see or do, and accommodating us to make sure our quick trip to Paris was a wonderful success! Location really can’t be beat either!', ""We visited on a family vacation near the end of August and had a great stay. The location is a central area that is close to a lot of tourist sites such as the Louvre and also subway stations. The staff were extremely friendly and helpful and offered plenty of recommendations and tips during our stay. And the rooms were spacious, which I wasn't expecting for Paris. When we arrived, the main elevator was broken for the first day and thus we had to rely on the staff elevator, which wasn't too bad. In general, we were all pleasantly surprised especially after a not so pleasant stay in London at a seemingly 4-star hotel.\n\nFrankly for the price, it's pretty darn good.\n\nPros:\n- Convenient location\n- Friendly and helpful staff\n- Spacious rooms for Paris\n- Windows that actually open with little balconies. Very neat.\n\nCons:\n- Elevator is small. But, that's kind of expected for the city.\n- Breakfast isn't worth the price, especially with so many walkable places to eat near you."", 'The hospitality we experienced here was world class. From the moment we arrived we were made to feel so welcome and the staff was so attentive to all of our needs. Helen and Hugo at the front desk were so helpful and answered any questions we had.  They really went above and beyond. The rest of the staff was also incredible. The location is also ideal and very close to the metro station as well as lots of places to eat and shop. Not to mention the beautiful view of the Opera! The rooms are charming, clean and comfortable. I slept so well every night after long days of walking and sightseeing.\n\nWe accidentally left a couple of valuable items in our room after checking out and we were stressed out trying to find them. Renaud reached out to us after finding them and has been so helpful. We are truly so appreciative.\n\nI can’t recommend this place enough. We look forward to staying here again if we ever find ourselves so lucky to be back in Paris.']",1er
Castille Paris,"33-37 Rue Cambon, 75001 Paris, France",48.8683896,2.326849,668,4.4,"['An absolutely top-notch experience! I arrived at the hotel slightly earlier than the check-in time, and the gentleman at the front desk smoothly handled my check-in. He informed us that since it was our honeymoon, our room had been upgraded to a suite with a stunning view of the Eiffel Tower—what a wonderful surprise! The room’s view was breathtaking, and the ambiance made our stay unforgettable. The staff at the bar downstairs were incredibly nice and offered timely assistance.\n\nThe hotel’s location is unbeatable—right next to Chanel’s flagship store and Saint-Honoré, making shopping extremely convenient. The only minor downside was that the breakfast menu remained the same for all three mornings of our stay, with no variety. Overall, it was a fantastic experience, and I highly recommend this hotel!', 'Very friendly front desk staff and concierge\nCapucine, the cat who ""works"" at the hotel\nGood location\nGood quality materials in the room\nVery comfortable bed\nVery high quality breakfast\nThe room in the lowest category is too small; I would choose a higher room category next time.', 'Although we were a big family with 4 kids, including infants, this hotel located in the middle of local shopping and just near Tuileries Gardens did super good sharing all its resources with us.\nPersonnel was very attentive and we had fun staying there, in a location very good for walking.\nWe tried the restaurant within the hotel, and all enjoyed a lot of- both food and service.\nVery rich breakfasts too.\nThe only thing is non-spacious rooms for quite some money, but this is quite natural for Paris in general, especially for locations neighboring with top-brands-boutiques!', 'Stayed for our anniversary 20 years after our first visit to Paris and the hotel is incredible. Lovely touches in the room and breakfast was so good. Most of all of you get to meet beryl on reception count yourself lucky. She is a real credit to the hotel... Just wish we could afford to come back again......', 'Very charming and welcoming hotel in a very ritzy area. The hotel staff has been nothing but helpful and friendly, from the reception, to the concierge, to the bar tender and everyone in between. Plus getting to play with the two resident cats is a treat on its own. We will definitely be back next time we come to Paris. Their breakfast buffet and amenities are also top notch.']",1er
Hôtel Bac St-Germain,"66 Rue du Bac, 75007 Paris, France",48.8557481,2.3250372,159,3.9,"['Sadly I think this cute little hotel is permanently closed. I’ve been watching it for the last 3-4 years, having stayed there in 2018.  There’s a plywood barrier all across the front and a keep out sign. It’s been that way for a couple of years. Too bad. We really enjoyed our stay and it’s very convenient.', 'Comfortable hotel in a very good location. Lovely area of Paris. Rooms are a bit tight but we were comfortable there for 3 nights.\nVery comfortable bed and good water pressure in the shower. Bath tub is a good size considering the room size.\nElevator is tiny but adds to the charm of the place. Great view from the breakfast terrace. Hotel staff ready to assist when needed.\nI would return to this one.', 'A nice hotel with pleasant and helpful staff who all spoke English. Good breakfast served on the sixth floor terrace with a view over the rooftops north towards the river. The hotels location is very good, being right next to the Metro line 12 which means you can get anywhere quite quickly. Only a 15/20 minute walk through the rive gauche and over the river to the Louvre. Would happily stay there again!', ""Excellent price/quality ratio. Small hotel, good for people that need a quiet clean place to stay for a few nights. Excellent location, quick connection to the subway, within walking distance from most famous venues (Eiffel tower, Museum of Invalides, Arch of Triumph. The day I arrived a very nice woman was at the reception. She guided me on how to get quick to where I wanted to go - for business, for siteseeing and for the airport. I didn't try the breakfast there because I was in a hurry.\nI would recommend this hotel to all people staying at Paris."", 'Only 1 plug in my room (in the bathroom!), thin walls and ceiling, so no quite night for me!\nThis hotel seemed old, but not the charming kind. Their online pictures probably date from years ago, which is misleading. This hotel needs renovation! Especially if the owner wants to charge 165€ per night, which is way too much for what you get. I have had much better hotels in Paris for this price.\nPositive comments: the location of course the staff was friendly! I pity them for working in such a hotel...']",1er
Le Relais Saint Germain,"9 Carr de l'Odéon, 75006 Paris, France",48.8519758,2.3388494,187,4.3,"['Staying at this hotel for one night was an interesting experience. While the room was spacious by Parisian standards, the tiny toilet, uncomfortable shower, and very narrow corridors made our stay less comfortable. Additionally, the breakfast area was quite small, and the staff did not seem particularly welcoming.\n\nThe decoration was distinctly Parisian, which added a charming touch, but the busyness of the room’s design might feel overwhelming for those seeking to relax after a hectic day. However, the best aspects were the excellent location, which was convenient and easily accessible, and the comfortable bed, which ensured a good night’s sleep.', 'I am writing this review a couple of months after my stay here. I keep thinking about how wonderful it was. From the moment my fiancée and I walked in, we were treated so kindly and noticed how beautiful the place is. The receptionist that we saw for most of our stay made sure that we had a great time and knew everything that we needed to know. She also allowed us to keep our bags there until check in time since our flight was so early. The rooms are incredibly comfortable and the aesthetic of them is great. There are drinks, breakfast, and it is in a great location. I can’t think of a way that I would make my experience better. Thank you to the staff ♡', 'We enjoyed a gorgeous stay at this pleasant and very friendly hotel. The location is wonderful, the team were very helpful, the quaint room was really comfortable and breakfast was great.\nWe will return.', 'Unbeatable location, and very quiet area. Around the clock reception which is helpful and makes you feel safe and accommodated. The staff are incredibly sweet, feels like staying with family.', 'Great Location, But Disappointing Service\n\nI recently stayed at this hotel and booked my room the same day, which was a great deal for the area. The location is fantastic, right in the middle of St. Germain de Pres and the 6th arrondissement, which is my favorite part of Paris. Opening the window to a quintessential Parisian view was delightful, with the added charm of hearing French songs from the street below in the afternoons—like something out of a movie.\n\nHowever, the experience was marred by poor service at the front desk. While most of the staff were polite and professional, the woman at the front desk during our stay was incredibly disrespectful and unprofessional. Upon arrival, she explained things in a very impolite manner, repeatedly insisting on knowing our entire schedule, including when we planned to wake up, have breakfast, and leave the room. Despite our reassurances that we would follow the hotel’s timing, she continued to insist on its importance.\n\nOur room was another issue—we received two shampoos but no shower gel. When my girlfriend asked for one, the receptionist initially refused to believe us, questioning our word and insisting that the staff never make such mistakes. Eventually, she sent someone to check, and we were proven right, but the interaction left a bad taste.\n\nThe following morning, I chose to fill out the breakfast order form and bring it directly to the front desk. The same receptionist looked at the form with clear disgust and even showed it to the cleaning lady, laughing together. When I confronted her about it, she criticized how I filled out the form and suggested, “Why don’t you have breakfast in the restaurant so it’s easier?”—which is not something you say to a guest. When our breakfast finally arrived, it was incorrect, and when we called to address the issue, she blamed me for filling out the form “wrong.”\n\nWhen my girlfriend called to inform them that our order was completely wrong, this same person started arguing in an extremely informal manner (like a teenager), insisting that it was my fault because I had filled out the form incorrectly—even though she had asked me to redo it with her! My girlfriend pointed out that regardless, this is not the way to speak to customers, and that the essence of her job is not to argue or pass judgment, let alone blame the guests. In response, the receptionist claimed that there were four people in front of her who could attest that she wasn’t being disrespectful, all while verbally attacking my girlfriend with her rapid speech and lack of professionalism. Where are we now? A playground argument? Shocked by such vulgarity and unprofessionalism, my girlfriend decided to hang up. It was truly a shocking and unpleasant experience for her to feel so attacked in this situation.\n\nThis level of unprofessionalism is unacceptable, especially at a hotel of this caliber. Hotel staff should be courteous and focused on finding solutions in a polite manner. Unfortunately, this was not our experience here.']",1er
Hôtel Pulitzer Paris,"23 Rue du Faubourg Montmartre, 75009 Paris, France",48.8732719,2.3428869,397,4.4,"[""We had a great stay here! After initially staying a couple nights at another hotel close by, we moved to here for the remaining 5 nights of our trip and it made such a drastic difference. The staff was fantastic, friendly, and accommodating (and even helped us with a great room upgrade). The property is comfortable as it's quiet enough if you need to get some work done but also not too quiet where it feels like there is no energy in the place. It's on a busy street, but the second you step inside it's a good escape from the hustle and bustle of the city.  They bar has great cocktails and friendly, attentive service. You can tell there was lot of attention to detail in the design choices throughout the property and rooms. Comfortable bed, stylish room, and very clean. There are multiple metro stations within only a few minutes walk. We had previously stayed at the Hotel Pulitzer in Barcelona so were familiar with the brand and the Paris property was another great experience. We highly recommend this property and look forward to our return visit!"", 'A well situated quaint little hotel in the heart of Montmartre.  Great access to metro restaurants and shops.  Unfortunately room faced inner courtyard overlooking back windows and top of lobby roof ceiling.  Also the bathroom door was not hung straight indicating lack of maintenance quality control.\n\nIn spite of these room issues, the front desk staff are outstanding and helped with a number of questions about transportation and culture.  Definitely worth a stay.', 'Location was excellent and room was cozy and cute. Despite being a very small floor space it had what I needed and was new and clean. Bed was very comfortable and I slept well. Staff were polite and professional and the breakfast was good. Highly recommend.', ""Couldn't fault our stay at all. Lovely staff who couldn't be more helpful, always with a smile. The guy on reception remembered our names which was sweet. I wish I had got his name to mention him as he is super smiley too. The room could have been bigger but who comes to Paris to stay in your room? Loved it and would not hesitate to stay here next time we are in Paris"", 'Location is great, boutique hotel is designed to good standards, but reception desk staff has the most awful attitude. Guess that’s typical of French. They make you feel like it’s your fault to ask questions and give feedbacks, and very unfriendly as well. But if you don’t expect much at all from service, stay there. (PS - Pulitzer Amsterdam is a real gem! This one doesn’t hold a candle to it!)']",1er
Hôtel Georgette,"36 Rue du Grenier-Saint-Lazare, 75003 Paris, France",48.8632711,2.352693,471,4.4,"['I had an excellent stay at Georgette! The staff were super friendly and accommodating. The superior room was clean and had everything I needed, and staff were quickly able to get me extras I asked for. Excellent location\nHighly recommended.', 'The hotel is recently renovated, really nice, tidy, exceptionally well designed interior, great hotel staff. Excellent bathroom, big towels and useful amenities. The rooms are extremely comfortable. The only little thing is the noise inside the hotel in the morning when guests are leaving and staff is cleaning the rooms. But in comparison to all the rest of the facilities, I can tolerate this. Will definitely come again. Location is great for my needs, vibrant night life around but not in the close vicinity of the hotel. Noise from the street disappeared around midnight. In all fronts the hotel was beyond the expectations', 'If you’re looking for a restaurant with rooms above , that’s the place for you. Hotel Georgette is not a typical 4 star hotel with breakfast  Tracklin and bars, but with a restaurant where you can order a coffee juice omelette or cereal. A very nice gentleman welcomed me in the evening showed me around and helped with every request. and in the morning greeted me the lovely ladies at the front desk. The ⭐️ night bathroom with its technology was the perfect atmosphere for the end of the day.', 'Hotel in an excellent location, the rooms are very clean and very beautiful, there is a boutique atmosphere.  There is a restaurant under the hotel, but regardless, in the whole area there are many shops, restaurants, cafes and bars.  There are 2 metro stations nearby (the closest is about a 5 minute walk) The staff was very nice and helped with what was needed.   Had a great time!', 'My husband and I stayed at the Hotel Georgette in October and love it! All of the staff were kind and helpful, the room was clean and comfortable, and the location was really great! Highly recommend a visit here!']",1er
Hôtel Bedford Paris,"17 Rue de l'Arcade, 75008 Paris, France",48.8720691,2.3236657,745,4.3,"[""The Bedford Hotel Paris offers a delightful experience that combines comfort, convenience, and a touch of history. Here’s a professional and positive review highlighting the various aspects of this charming hotel:\nReception and Service\nUpon arrival, guests are greeted by a friendly and efficient reception team. The check-in process is quick, ensuring that you can settle into your room without delay. The staff is attentive and ready to assist with any inquiries, making you feel welcomed from the moment you step inside.\nRoom Quality\nThe rooms at the Bedford Hotel are easy to find, well-equipped, and impeccably clean. Each room features comfortable beds that guarantee a good night's sleep, allowing guests to relax after a day of exploring Paris. The bathrooms are also well-appointed, providing all necessary amenities in a spotless environment.\nAmenities\nWhile the hotel includes modern conveniences such as flat-screen televisions, some guests have noted that the TVs can be a bit tricky to operate. However, this minor inconvenience does not detract from the overall quality of the stay.\nBreakfast Experience\nThe breakfast offered at the hotel is delicious and well-served, providing a great start to your day. Guests appreciate the variety and quality of the food available, making it a highlight of their stay.\nLocation and Accessibility\nSituated in an excellent location, the Bedford Hotel is just steps away from key attractions such as the Madeleine and the Paris Opera. The proximity to public transportation makes it easy for guests to explore all that Paris has to offer. Additionally, parking options are available, enhancing convenience for those traveling by car.\nA Historical Touch\nFor those looking to experience Paris from a hotel steeped in history, the Bedford Hotel has been welcoming guests for over 100 years. This rich heritage adds an extra layer of charm to your stay, making it a unique choice among hotels in the area.\nConclusion\nIn summary, if you're seeking a hotel that combines excellent service, comfortable accommodations, and a prime location in Paris, look no further than the Bedford Hotel. It stands out as an exceptional choice for both leisure and business travelers alike. Choose this hotel above others for an unforgettable Parisian experience!"", 'The concierge, Harisch, made our stay!! He gave us fantastic recommendations for restaurants and got us into some lovely spots for dinners.\n\nOur room was nice and very spacious. The bed, however, was very uncomfortable for what I’m used to (it was very very hard).', 'Perfect hotel. Perfect and friendly location, feeling of security in the hotel, nice staff who answered all requests, delicious breakfast, clean and beautiful rooms. Highly recommended my experience in Paris thanks to the hotel and I wanted to thank Charles Part, one of the owners, for the good service.', 'It all started the moment we arrived. Walking into the hotel, it’s beautifully adorned and sets the tone for a good stay, for a 4 star hotel. However upon check in is where the problems started. We booked on booking dot com and paid in advance, however the staff (front office manager) asked for my credit card for payment. I told her we’d already paid in full upfront and she snarly said “I don’t think so”…. I told her to double check and she said oh yeah… no apology for the remark. Strange how the front office manager could make such error.. had I not checked, I would have been charged again.\nWe made our way up to the room… an hour later I had a call saying that my AMEX card was in the lobby as the staff didn’t return it to me. They didn’t bring it to the room or apologise, so I made my way down to collect it.\nThe entire aura and lack of manners from the staff is disappointing. Not one smile, not an apology.\nThe next day, the shower gel was not replenished, despite us using it all. The amenities are not up to standard for a 4 star hotel at a price of over 200€ per night. After the second night, still no replies of shower gel so I complained to the front office. Again, no apology, the staff just scrabbled to find a spare small bottle of shower gel in the drawer at front office. Besides this, there are no cotton buds or any other basic amenities you’d expect, no kettle, no tea or coffee, no water.  I have had better amenities in 2 star hotels. This hotel is 2 star parading as 4 star just because they have a restaurant onsite and a concierge service.\n\nUpon checkout we were asked how many rooms, and how many adults in the room.. strange questions. No thank you for the stay or any form of sincerity.\n\nLocation is fantastic and the lobby and restaurant are beautiful. Complete let down from the staff (apart from bellboy who is friendly).\n\nMy advice to management: stop being so cheap and greedy. Provide proper amenities that reflect the level and cost of the hotel. Train your staff or hire people that actually want to be in hospitality.\nAlso, bed sheets and carpet have stains and holes. Not acceptable.', 'Good place , but I hated that the toilet is separate from the shower and sink! Imagine using the toilet then need to open tow doors to wash your hands.. there is no slippers, rope, tooth brush, water, or coffee corner.. if you need boiling water you need to go to the lobby to have one otherwise they will charge you for room service if they bring it to you.. the last thing about the open buffet I didn’t like it at all ( eggs, yogurt, cereal, mini croissants, sausages, and a small plate with 3 type of cheese only!! ) and it was pricey']",1er
