Nom,Adresse,Latitude,Longitude,Nombre d'avis,Note moyenne,Reviews,Arrondissement
HYPNOSE LOUNGE CHICHA,"21 Av. de la Prte de Châtillon, 75014 Paris, France",48.8231577,2.3163745,298,3.6,"['Absolutely amazing food, fantastic atmosphere and great service! Highly recommend it for food, shisha and entertainment! 10/10😀', 'very cool because without Alcohol!', 'Music is heard in hotel! It is very loud!', 'It was good for a change of scenery but just pay attention to the little details, the prices are not the same during the week and on weekends, also on Fridays, there is no point in wasting time with the waiters and wasting your time , in any case thank you for everyone', 'Excessive prices\nNothing, in my opinion, requires these prices whether for shisha or drinks.\nRegarding the service, you have to be very very very very patient in every sense of the word']",14e
Pavillon Montsouris,"20 Rue Gazan, 75014 Paris, France",48.82224249999999,2.3405775,629,4.1,"['Got there for a business dinner. Food is excellent! I also like the service and ambiance.', 'Fancy restaurant with very good and professional staff. We had a bussiness dinner here and it was perfect.', 'Very nice restaurant with typical French cuisine. Very nicely presented dishes and good service on the day of our visit. You can eat ""a la carte"" or you can choose a menu of entree, main dish and dessert at a price of 49Euros. In the summer they do outside seating which when the weather is good this can be very pleasant.', 'A very nice restaurant with a particular style, at the side of a beautiful old park. The service was very attentive in a traditional fashion, and the food was delicious and original. Portions were on the small side, so you can take three courses without feeling too full.', 'Beautiful place with excellent food, wine and service.']",14e
IL FARNIENTE,"1 Rue Paul Fort, 75014 Paris, France",48.82350400000001,2.3304828,876,4.5,"['My partner and I dined in with 2 French local friends on a Monday night at 7:30pm. The restaurant was only 20% full. The portion size here is very generous. Complimentary bread was provided. The appetizers alone is a full meal in itself. We ordered a beef tartare with truffled Gorgonzola sauce and a foie gras to share and a side order of salad not knowing both the tartare and foie gras also came with the same salad. The salad comes with prosciutto and salami too, which was filling. Between my partner and I, we shared an octopus risotto with truffle flavor and tortellini with meatballs in mascarpone cream with Italian truffles. None of the dishes had any truffle flavor whatsoever. The octopus was overcooked and chewy. The tortellini was good just missing the truffle flavor. We were so full from the appetizers and salad we couldn’t finish our mains. After our friends paid for dinner the owner kindly offered us shots of limoncello.', 'Loved the food!! Went twice on vacation. Portion size is incredible and the taste is authentic Italian in Paris. Owner was wonderful!! Very friendly and personable. Don’t miss out on a wonderful meal and atmosphere. I’d give it 10!stars if I could.', 'We come to to this place when we want to eat a huge plate of tasty pasta, or should I say a huge pot. There is enough choices for all tastes and the prices are correct. The food is tasty and well made, but I would not recommend the starters unless you share the main dish. The staff is always on deck, you are quickly served. I would recommend coming early on weekends as the place can get crowdy. Enjoy !', ""Fantastic flavours and service from start to finish - with a real sense of character and generosity. This was an absolute delight to find and I'd happily go back and explore the rest of the menu on future trips to Paris! Very memorable food and fun :)"", 'The service was amazing.. Authentic. Truffle pasta to die for and all our plates were big portions! I highly recommend this  place we will surely be coming back']",14e
Restaurant Universitaire CIUP - CROUS,"17 Bd Jourdan, 75014 Paris, France",48.8192917,2.337493199999999,612,4.0,"['Located in the Cité Internationale Universitaire of Paris, this CROUS restaurant provides cheap and healthy meals for students at discount prices (1-3.30€). For the price, the food quality is great, although the customer service is incredibly disappointing and the hours are not great, especially as lines do tend to form in the evening. Great option for students during the week; without a student card it’s almost 10€ and not worth it. P.S. do not spend your money on the Saturday brunch, as it is almost double the price for a significant reduction in food quality.', ""I like it!\nHighly recommend:)\nI arrived half an hour before closing time, and they still had food of all options! That's just amazing, because in other Crous restaurants they don't.\nAlso I got a hair in my food, but it still was very delicious! (No complaints, there were really a lot of people eating, so it's definitely their)\nAmazing for its price!\n(2 portions in the photo)"", 'The food was very good for me ! But some stuff a bit unfriendly. But still best place to to grab quick cheap healthy meal.', 'I would give this place 0 star if I could. The utensils are incredibly dirty and the portions are really small.', 'Avoid the cashier lady！！！Rude service and over charges with no reason.\n\nI’m a student with Izly account which works perfectly on my campus.\n\nThe rude woman overcharged me €8.8, but she pretended it was my Izly account’s problem and told me to send the documents to Izly to get my money back. MADE LAUGH OF ME IN FRONT OF THE QUEUE! Intolerable ! ! ! So mean ! ! !']",14e
Le Miami,"2 Rue Emile Faguet, 75014 Paris, France",48.8218462,2.3300012,320,4.1,"['Good service they are really nice people and good food and drink. We really enjoy , thanks you ❤️', 'The waiter is a disaster. He doesn’t even have the slightest manners.', 'Very nice & friendly place. The hookah & food are so bomb ! Don’t hesitate guys you will not be disappointed. Thanks a lot to Malik who is very helpful and nice, I will def come back again !', 'Really bad! Especially very impolite personnel. Pay 3 euros more for a shisha, and go to a some touristic shisha places in rue Mouffetard!', 'Waste of money & time']",14e
La Rotonde,"7 Pl. du 25 Août 1944, 75014 Paris, France",48.8221407,2.3258581,851,4.0,"['We visited  la rotonde in march 2023. Jadè was an wonderful server and very helpful. We appreciated her attempting English and she, our  attempting french. Definitely recommend stopping jn for a bowl of beuf Bourgogne of steak frites.', 'Very nice dinner, I have ordered the plat du jour, and what I ate was above and beyond expectations! Especially for the price point , I don’t think you can find any better value for money elsewhere. Also , the staff was very professional and welcoming. I will definitely come back', ""It was the worst experience I had in Paris. Terrible service.\n\nThey instructed me to access the menu using the QR code. We were very clear in ordering a Parisian breakfast for 6.90, which on the menu included a hot drink + orange juice + croissant + omelette.\n\nWhen the bill came, they charged me 14.90 for an American breakfast. I informed them of the mistake and they said that was it.\n\nI showed that the menu listed everything for 6.90 and they said it was an error on their website.\n\nThe waitress called the person in charge of the establishment, who was completely rude. They also said that I should imagine that it wouldn't be that cheap, and that I would have to pay the bill.\n\nIn a normal situation I wouldn't pay and call the police, but to waste travel time on this, it was better not to go ahead.\n\nMaybe it's no surprise that all the cafes had lots of customers and this one was almost empty."", 'We come here only for breakfast after tennis at Elisabeth. So it is convenient, great and affordable breakfast and good service', 'A nice café to drink a good cappuccino and have a cigarette...']",14e
Grill Istanbul,"10 Bd Jourdan, 75014 Paris, France",48.8199282,2.3433744,283,3.8,"['This place is such a hidden gem! The food is always fresh, full of flavor, and served with a smile. It’s a cozy spot perfect for a quick dine-in or takeout. The staff are super friendly and make you feel right at home. And on a side note, their Turkish baklava is absolutely the best I’ve ever had.. sweet, flaky, and just perfect. Highly recommend stopping by!\n⭐️⭐️⭐️⭐️⭐️', 'Delicious and cheap, very good restaurant for students nearby.', 'All of the staff is lovely, and the food is great 💕', 'Good food, reasonable price', 'Honest, simple, quick and satisfying burgers and kebabs. Warm service. A very pleasant experience overall. 👌']",14e
Le Chalet du Parc,"28 Bd Jourdan, 75014 Paris, France",48.8213588,2.3346973,672,4.0,"['Best food in Paris! I enjoyed eating here on two different days and the owner is very welcoming and charismatic. I ate the fish Alfredo and the butchers special and enjoyed the quality and fresh ingredients. I highly recommend this restaurant.', 'If you enjoy mediocre, sarcastic, and aggressively passive service, be sure to visit this place.\nFrom the beginning, it was clear that the experience would not be pleasant. When we asked the waiter if there was a table available, the answer we received was ""bah ouais"" (with a very unpleasant expression).\nBy the way, it is not worth mentioning all the unpleasant moments in this place.\n\nTo avoid.', 'Just delicious food. Cooked to perfection. Friendly and attentive waiters. We tried the cocktails too, definitely try the margaritas! One of the best I’ve had.', 'Nice spot to step by and eat or drink. I had a good omelette and a glass of wine. The service was good and fast. I really appreciated the decorations of the indoor. Definitely okay!', 'Beautiful place at the entrance of a city park near the citè universitaire. Tasty food at reasonable prices. You have to try the croque madame with fried potatoes.']",14e
Franprix,"94 Rue de l'Amiral Mouchez, 75014 Paris, France",48.8202223,2.3436795,535,3.7,"['I’ve visited this store twice since arriving in Paris, and unfortunately, both experiences have been unpleasant. On my first visit, the cashiers were unhelpful. Given the store’s proximity to an international university, I expected a bit more assistance, but instead, I was met with blank stares and confusion. I brushed it off, attributing it to potential language barriers.\n\nHowever, my second visit was far more troubling. Yesterday, I experienced racial profiling. As I was checking out, the cashier asked me to open my purse—a request that wasn’t made of any other customers and wasn’t asked during my first visit. As an American, this behavior was shocking and left me feeling confused and uncomfortable. This experience has certainly impacted my impression of the store.\n\nAdditionally, I was rushed while trying to put my food away, which only added to the stress. They take two customers at the same time at the register, making the process overwhelming.\n\nINTERNATIONAL KIDS BE WARY!!', ""I walked in, no one said I couldn't enter the store, at 8:55, three grown men  came to me 2 minutes later and the cashier yelled at me to get out because they were closing, I was the only person they yelled at, I was telling them that I had one item to get and the two men followed me to yell at me and the cashier yelled at me, I left 9:00 on the dot. So idk, as a women in a country that is not my own to be yelled at by two grown men and embarrassed by a service worker when I did nothing wrong is gross and dangerous. If there is a reason to make clients leave I understand, but yelling I don't think should be accepted."", 'So far I saw expired products twice on the shelves in this store and mentioned it but apparently they don’t care.\nThey recently started asking people to open their bags when they leave the store.\nWhat happened to this city?!', 'Cashiers are not too friendly, even though they speak English, they never want to answer anything in English, a bit disappointed. I even asked her politely ""Parlez-vous anglais?"" I thought people in the service industry would be kind since there are so many people of various nationalities in paris.', ""During corona it is great to shop here. Unlike another supermarket, it is not insanely overcrowded and unlike people assume, the prices aren't really much different from the other supermarkets.""]",14e
Bistro 32,"32 Bd Jourdan, 75014 Paris, France",48.82162410000001,2.3337511,773,4.4,"['Great place where to have a beer at a reasonable price (6€ for a pint during happy hours). I really liked their tartare, it was tasty and fresh. I warmly recommend it.', 'It was very nice here.\nThe pizza was nice and tasty and the chips served with it were also nice.\nThe service was quick, however it was quite hot inside\nLovely location aswell.\nOverall very nice here and it is worth visiting.', 'Very nice staff and fairly good price for the meal and portion size. I went to it three times for dinner since it was close by and tried different items on the menu - all of which were delicious! Would recommend :)', 'The staff was very accommodating and friendly. I want to give a higher review because of them. However, the food was bland and mediocre at best. It even remained lacking with the liberal use of salt and pepper. This would be perfect for a retirement home cafeteria.', 'We have been there 4 nights in the row. Was a perfect end after our daily Olympic trips through Paris. Staff and food were amazing.']",14e
